"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50698247670737","2.63074799348132","2.53890363547627","2.17740486988207","2.39536739415935","2.56044475984967","2.55804250589211","2.60259715471024","2.91193751704812","2.82988631940586","3.02244712180944","2.95902611182763","3.20829293621733","3.07741065830601","3.22456632863673","3.11829767185683","3.03735064791681","3.07140102439432","3.09204635135483","3.15860822756092","3.31261539101778","3.44711363219681","3.39341186695929","3.63041104423073","3.93235351152031","4.27222504979535","4.3864445977233","4.51270982550398","4.6815302787049","4.76904321251794","4.75493658131124","4.91583750688826","4.91537914022337","","",
"Afghanistan","AFG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4470968648406","2.64254745488027","2.57404978028377","2.44268727801322","2.50448895268586","2.58460315469335","2.52267246558625","2.47270947059641","2.0128181540687","2.18940738257263","2.37176776429809","2.32488750377798","2.30221698440951","2.0326674992284","2.17668554348982","1.98824701678358","1.87304722343464","1.66027457882375","1.83667020867877","1.80765245727942","1.68249970497059","1.57916113578532","1.59450273913086","1.53035526129947","1.56547393817573","1.47322639072808","1.55167551095613","1.60962456901552","1.69823616407816","1.736624686115","1.6882984758223","1.68071530177221","1.81846465553293","","",
"Angola","AGO","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06","1.1","1.19","1.22","1.21","1.23","1.23","1.14","1.4","1.13","1.13","1.22","1.32","1.33","1.87","2.52","2.58","2.3","2.66","2.48","2.8","2.93","3.52","3.03","3.53","3.11","4.05","4.77","7.03","6.85","8.02","6.62","6.55","","",
"Albania","ALB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16","16.17","20.42","21.41","22.9","27.19","34.7","35.71","31.69","25.38","22.06","16.77","15.04","21.38","21.73","21.38","22.15","12.16","15.86","21.12","30.87","16.47","20.89","26.23","17.87","23.65","30.16","16.98","31.74","19.8","21.75","34.43","28.45","","",
"Andorra","AND","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.696637118397328","0.622436090789698","0.542714441544535","0.517885516133957","0.510599151618717","0.496550808939488","0.525844192002809","0.517894095955007","0.514738964272587","0.54311651643085","0.511343435977485","0.514581719106782","0.426678485908193","0.459915025891062","0.466007615884124","0.53721411548108","0.506395023584826","0.517502310111922","0.427399594942927","0.424631254438505","0.511471699685949","0.475603995153816","0.472588474496663","0.525378181133689","0.472510784077351","0.447805876649966","0.47136996245021","0.47599825469104","0.556351621241583","0.732575800105043","0.885311782330251","1.16510195965735","1.518380994093","","",
"United Arab Emirates","ARE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.09","0.08","0.08","0.14","0.18","0.43","1.25","3.86","7.24","","",
"Argentina","ARG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","8.16","8.27","9.35","9.58","8.93","8.08","9.02","7.98","6.76","7.69","10.19","9.52","9.19","7.88","8.11","8.6","7.09","6.88","8.31","7.25","6.48","6.09","6.39","6.09","6.43","6.52","6.11","6.7","7.1","8.54","7.93","7.33","","",
